,merchant_descriptor,dim_dt,merchant_name,category_name
0,ICELANDA 1082416461723,2025-08-20 14:04:05.998220,Icelandic Air,Travel
1,TST*CHIPOTLE GRILL,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
2,United BARCELONA,2025-08-20 14:04:05.998220,United Air,Travel
3,TST*PANDA EXPRESS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
4,SQ *SONIC DRIVE IN,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
5,TST *RED LOBSTER,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
6,United ZURICH,2025-08-20 14:04:05.998220,United Air,Travel
7,AUTOMATIC PAYMENT - THANK,2025-08-20 14:04:05.998220,Payment,Payment
8,TST* SHABUYA - CONCORD,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
9,SQ *PANERA BREAD,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
10,TST*PIZZA HUT,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
11,TST *APPLEBEES,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
12,TST*TEXAS ROADHOUSE,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
13,TST*DENNYS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
14,SQ *BURGER KING,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
15,TST*NOPA - DIVISADERO ST,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
16,TST *RUBY TUESDAY,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
17,TST*CHICK-FIL-A,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
18,SQ *BAREBOTTLE BREWING CO,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
19,SQ *WENDYS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
20,TST*CALIFORNIA PIZZA KITCHEN,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
21,SQ *CARL'S JR,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
22,TST *LONGHORN STEAKHOUSE,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
23,United COPENHAGEN,2025-08-20 14:04:05.998220,United Air,Travel
24,TST *PANDA EXPRESS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
25,SQ *SHAKE SHACK,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
26,TST *OLIVE GARDEN,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
27,SQ *MCDONALDS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
28,TST *BUFFALO WILD WINGS,2025-08-20 14:04:05.998220,Retail - Food Merchant,Retail
