Date,Transaction,Name,Memo,Amount
2025-01-05,DEBIT,TRADER JOE S #212      ANYTOWN       USA,24137465152501133563696; 05411; ; ; ;,-22.43
2025-01-05,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24427335152710038279670; 05411; ; ; ;,-148.67
2025-01-06,DEBIT,CHEVRON #1234          ANYTOWN       USA,24047555153900012100180; 05541; ; ; ;,-45.23
2025-01-07,DEBIT,COSTCO GAS #0148       ANYTOWN       USA,24943005155219545531558; 05542; ; ; ;,-52.89
2025-01-08,DEBIT,COSTCO WHSE #0148      ANYTOWN       USA,24943005155219524985742; 05300; ; ; ;,-167.45
2025-01-09,DEBIT,DAYCARE 1234           ANYTOWN       USA,24011345157100037351827; 05995; ; ; ;,-245.67
2025-01-10,DEBIT,WHOLEFDS CBL 10033     ANYTOWN       USA,24137465157001743751398; 05411; ; ; ;,-78.91
2025-01-11,DEBIT,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,24011345159100018320989; 05331; ; ; ;,-156.78
2025-01-12,DEBIT,UTILITY COMPANY A      800-266-2278  USA,24692165158102285229686; 04899; ; ; ;,-89.34
2025-01-13,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24445005159000770432970; 05411; ; ; ;,-67.21
2025-01-14,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24047555157900012500245; 05541; ; ; ;,-38.45
2025-01-15,DEBIT,TARGET        00020883 ANYTOWN       USA,24943005158221548857748; 05310; ; ; ;,-123.89
2025-01-16,DEBIT,KROGER STORE #456      ANYTOWN       USA,24137465157500978668888; 05411; ; ; ;,-89.56
2025-01-17,DEBIT,GEICO AUTO INS         800-861-8380  USA,24692165157101536272744; 05960; ; ; ;,-127.45
2025-01-18,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24137465161001637747308; 05411; ; ; ;,-178.23
2025-01-19,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24231685160367109454080; 05541; ; ; ;,-41.67
2025-01-20,DEBIT,THE CHILDREN'S PLACE   ANYTOWN       USA,24943005163224765457146; 05651; ; ; ;,-67.89
2025-01-21,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24943005163224756965925; 05411; ; ; ;,-45.32
2025-01-22,DEBIT,YMCA SWIM ACTIVITIES   ANYTOWN       USA,24377355164000002104714; 07997; ; ; ;,-89.56
2025-01-23,DEBIT,AMAZON MKTPL*NA3S048Z2 Amzn.com/bill WA,24692165164107384321963; 05942; ; ; ;,-78.91
2025-01-24,DEBIT,BLUE CROSS BLUE SHIELD 800-555-1234  USA,24692165167100033637472; 05960; ; ; ;,-134.56
2025-01-25,DEBIT,COSTCO WHSE #0470      ANYTOWN       USA,24137465164500946999028; 05300; ; ; ;,-234.78
2025-01-26,DEBIT,SHOPIFY MERCHANT XYZ   SHOP.COM      USA,24137465168001669602523; 05942; ; ; ;,-89.43
2025-01-27,DEBIT,CHEVRON #5678          ANYTOWN       USA,24943005168228018531891; 05541; ; ; ;,-47.89
2025-01-28,DEBIT,PTA SCHOOL FUND        ANYTOWN       USA,24275395167900016670244; 08299; ; ; ;,-125.67
2025-01-29,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24943005169228694882351; 05411; ; ; ;,-156.78
2025-01-30,DEBIT,PROGRESSIVE INSURANCE  800-776-4737  USA,24137465168500857845497; 05960; ; ; ;,-98.45
2025-01-31,CREDIT,PAYMENT   THANK YOU,WEB AUTOMTC; ; ; ; ;,2456.89
2025-02-01,DEBIT,TRADER JOE S #063      ANYTOWN       USA,24164075169091017338419; 05411; ; ; ;,-34.67
2025-02-02,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24138295170128767612181; 05541; ; ; ;,-39.78
2025-02-03,DEBIT,AMAZON PRIME VIDEO     WWW.AMAZON.CO WA,24801975174382745113262; 05815; ; ; ;,-14.99
2025-02-04,DEBIT,COSTCO GAS #0148       ANYTOWN       USA,24692165175104227351866; 05542; ; ; ;,-58.91
2025-02-05,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24692165175104428083326; 05310; ; ; ;,-167.45
2025-02-06,DEBIT,DAYCARE 1234           ANYTOWN       USA,24943005176233322519822; 05995; ; ; ;,-245.67
2025-02-07,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24137465175500857318132; 05411; ; ; ;,-78.34
2025-02-08,DEBIT,UTILITY COMPANY A      800-266-2278  USA,24047555176900014100561; 04899; ; ; ;,-92.56
2025-02-09,DEBIT,TARGET        00020883 ANYTOWN       USA,24943005177233943955610; 05310; ; ; ;,-145.78
2025-02-10,DEBIT,KROGER STORE #456      ANYTOWN       USA,24137465181001549463479; 05411; ; ; ;,-67.89
2025-02-11,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24430995179388992121280; 05541; ; ; ;,-44.32
2025-02-12,DEBIT,GEICO AUTO INS         800-861-8380  USA,24430995179388992121281; 05960; ; ; ;,-127.45
2025-02-13,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24430995179388992121282; 05411; ; ; ;,-56.78
2025-02-14,DEBIT,THE CHILDREN'S PLACE   ANYTOWN       USA,24430995179388992121283; 05651; ; ; ;,-89.45
2025-02-15,DEBIT,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,24430995179388992121284; 05331; ; ; ;,-123.67
2025-02-16,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121285; 05411; ; ; ;,-189.34
2025-02-17,DEBIT,YMCA SWIM ACTIVITIES   ANYTOWN       USA,24430995179388992121286; 07997; ; ; ;,-89.56
2025-02-18,DEBIT,CHEVRON #1234          ANYTOWN       USA,24430995179388992121287; 05541; ; ; ;,-51.23
2025-02-19,DEBIT,BLUE CROSS BLUE SHIELD 800-555-1234  USA,24430995179388992121288; 05960; ; ; ;,-134.56
2025-02-20,DEBIT,COSTCO WHSE #0148      ANYTOWN       USA,24430995179388992121289; 05300; ; ; ;,-267.89
2025-02-21,DEBIT,SHOPIFY MERCHANT XYZ   SHOP.COM      USA,24430995179388992121290; 05942; ; ; ;,-78.91
2025-02-22,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24430995179388992121291; 05541; ; ; ;,-43.67
2025-02-23,DEBIT,PTA SCHOOL FUND        ANYTOWN       USA,24430995179388992121292; 08299; ; ; ;,-167.89
2025-02-24,DEBIT,TRADER JOE S #212      ANYTOWN       USA,24430995179388992121293; 05411; ; ; ;,-45.78
2025-02-25,DEBIT,PROGRESSIVE INSURANCE  800-776-4737  USA,24430995179388992121294; 05960; ; ; ;,-98.45
2025-02-26,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24430995179388992121295; 05310; ; ; ;,-156.23
2025-02-27,DEBIT,AMAZON MKTPL*NA3S048Z2 Amzn.com/bill WA,24430995179388992121296; 05942; ; ; ;,-89.67
2025-02-28,CREDIT,PAYMENT   THANK YOU,WEB AUTOMTC; ; ; ; ;,2789.45
2025-03-01,DEBIT,COSTCO GAS #0470       ANYTOWN       USA,24430995179388992121297; 05542; ; ; ;,-56.78
2025-03-02,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24430995179388992121298; 05411; ; ; ;,-89.34
2025-03-03,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24430995179388992121299; 05541; ; ; ;,-41.89
2025-03-04,DEBIT,DAYCARE 1234           ANYTOWN       USA,24430995179388992121300; 05995; ; ; ;,-245.67
2025-03-05,DEBIT,TARGET        00020883 ANYTOWN       USA,24430995179388992121301; 05310; ; ; ;,-134.56
2025-03-06,DEBIT,KROGER STORE #456      ANYTOWN       USA,24430995179388992121302; 05411; ; ; ;,-78.91
2025-03-07,DEBIT,UTILITY COMPANY A      800-266-2278  USA,24430995179388992121303; 04899; ; ; ;,-87.23
2025-03-08,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121304; 05411; ; ; ;,-167.89
2025-03-09,DEBIT,CHEVRON #5678          ANYTOWN       USA,24430995179388992121305; 05541; ; ; ;,-48.56
2025-03-10,DEBIT,GEICO AUTO INS         800-861-8380  USA,24430995179388992121306; 05960; ; ; ;,-127.45
2025-03-11,DEBIT,ALDI GROCERY STORE     ANYTOWN       USA,24430995179388992121307; 05411; ; ; ;,-67.34
2025-03-12,DEBIT,THE CHILDREN'S PLACE   ANYTOWN       USA,24430995179388992121308; 05651; ; ; ;,-89.78
2025-03-13,DEBIT,AMAZON RETA* NH96X9LV1 WWW.AMAZON.CO WA,24430995179388992121309; 05331; ; ; ;,-145.67
2025-03-14,DEBIT,YMCA SWIM ACTIVITIES   ANYTOWN       USA,24430995179388992121310; 07997; ; ; ;,-89.56
2025-03-15,DEBIT,SHELL GAS STATION      ANYTOWN       USA,24430995179388992121311; 05541; ; ; ;,-42.89
2025-03-16,DEBIT,BLUE CROSS BLUE SHIELD 800-555-1234  USA,24430995179388992121312; 05960; ; ; ;,-134.56
2025-03-17,DEBIT,COSTCO WHSE #0148      ANYTOWN       USA,24430995179388992121313; 05300; ; ; ;,-234.78
2025-03-18,DEBIT,WALMART SUPERCENTER    ANYTOWN       USA,24430995179388992121314; 05310; ; ; ;,-178.45
2025-03-19,DEBIT,SHOPIFY MERCHANT XYZ   SHOP.COM      USA,24430995179388992121315; 05942; ; ; ;,-67.89
2025-03-20,DEBIT,TRADER JOE S #063      ANYTOWN       USA,24430995179388992121316; 05411; ; ; ;,-56.78
2025-03-21,DEBIT,PTA SCHOOL FUND        ANYTOWN       USA,24430995179388992121317; 08299; ; ; ;,-189.34
2025-03-22,DEBIT,SUNCO GAS STATION      ANYTOWN       USA,24430995179388992121318; 05541; ; ; ;,-45.67
2025-03-23,DEBIT,PROGRESSIVE INSURANCE  800-776-4737  USA,24430995179388992121319; 05960; ; ; ;,-98.45
2025-03-24,DEBIT,SAFEWAY #2150          ANYTOWN       USA,24430995179388992121320; 05411; ; ; ;,-78.91
2025-03-25,DEBIT,AMAZON MKTPL*NA3S048Z2 Amzn.com/bill WA,24430995179388992121321; 05942; ; ; ;,-123.45
2025-03-26,DEBIT,WHOLE FOODS MARKET     ANYTOWN       USA,24430995179388992121322; 05411; ; ; ;,-189.67
